channel_name,channel_genre
Home Shop 18,Infotainment
Dabangg,MOVIES
NT 1,Infotainment
CHANNEL WIN,DEVOTIONAL
EZMall,Infotainment
Sadhna National,DEVOTIONAL
Sanskar tv,DEVOTIONAL
Aastha,DEVOTIONAL
God TV,DEVOTIONAL
Arihant,DEVOTIONAL
Paras TV,DEVOTIONAL
Aastha Bhajan,DEVOTIONAL
Jinvani,DEVOTIONAL
Peace Of Mind TV,DEVOTIONAL
HOPE Channel,DEVOTIONAL
Lord Buddha,DEVOTIONAL
Shubsandesh TV,DEVOTIONAL
Satsang,DEVOTIONAL
Darshan 24,DEVOTIONAL
Divya,DEVOTIONAL
Vedic,Infotainment
Adhyatm,DEVOTIONAL
Sarv Dharam Sangam,DEVOTIONAL
Surya Bhakti,DEVOTIONAL
India TV,NEWS AND CURRENT AFFAIRS
News 24,NEWS AND CURRENT AFFAIRS
TV9 Marathi,NEWS AND CURRENT AFFAIRS
India News,NEWS AND CURRENT AFFAIRS
News Nation,NEWS AND CURRENT AFFAIRS
Republic Bharat,NEWS AND CURRENT AFFAIRS
Khabar Fast,NEWS AND CURRENT AFFAIRS
SURYA SAMACHAR,NEWS AND CURRENT AFFAIRS
News X,NEWS AND CURRENT AFFAIRS
9X Jhakaas,MUSIC
ABP Majha,NEWS AND CURRENT AFFAIRS
Saam,General Entertainment
Jai Maharashtra,NEWS AND CURRENT AFFAIRS
MaiBoli,General Entertainment
ABP ASMITA,NEWS AND CURRENT AFFAIRS
SANGEET MARATHI,MUSIC
Sangeet Bhojpuri,MUSIC
9XM,MUSIC
9X Jalwa,MUSIC
9X O,MUSIC
E 24,MUSIC
B4U Movies,MOVIES
Dangal,MOVIES
Manoranjan TV,MOVIES
Cinema TV,MOVIES
Wow Cinema,MOVIES
Oscar Bhojpuri Movies,MOVIES
Aakash Aath,General Entertainment
ABP Ananda,NEWS AND CURRENT AFFAIRS
Aradhana,DEVOTIONAL
I PLUS,DEVOTIONAL
PTC News,NEWS AND CURRENT AFFAIRS
Chardikala Time TV,General Entertainment
PTC Chakde,MUSIC
PTC Punjabi,General Entertainment
Gulistan News,NEWS AND CURRENT AFFAIRS
Russia Today,NEWS AND CURRENT AFFAIRS
CGTN,NEWS AND CURRENT AFFAIRS
France 24,NEWS AND CURRENT AFFAIRS
Munsif TV,NEWS AND CURRENT AFFAIRS
GOOD NEWS,DEVOTIONAL
ABP News,NEWS AND CURRENT AFFAIRS
Fashion TV,Infotainment
B4U Music,MUSIC
BTVI,NEWS AND CURRENT AFFAIRS
Katyayani,DEVOTIONAL
REPUBLIC TV,NEWS AND CURRENT AFFAIRS
Bhojpuri Cinema,MOVIES
Movies House,MOVIES
J K Channel,NEWS AND CURRENT AFFAIRS
SURYA CINEMA,MOVIES
