Time,Tweet,ImageLink,Comment,Retweet,Like
Time,Tweet,ImageLink,Comment,Retweet,Like
Time,Tweet,ImageLink,Comment,Retweet,Like
Time,Tweet,ImageLink,Comment,Retweet,Like
7:45 PM - 29 Dec 2019,Simulation of first crewed flight of Falcon 9 / Dragon 2020 @NASApic.twitter.com/BSDPYTcVIG,"<div class=""PlayableMedia-player"" data-border-bottom-left-radius="""" data-border-bottom-right-radius="""" data-border-top-left-radius="""" data-border-top-right-radius="""" data-playable-media-url="""" data-use-b-version-of-react-player="""" data-use-player-precache="""" data-use-react-player="""" style=""padding-bottom: 41.5625%; background-image:url('https://pbs.twimg.com/ext_tw_video_thumb/1211493013022760961/pu/img/C8go7WCt5qowz1yq.jpg')"">
    <div class=""PlayableMedia-reactWrapper""><div style='cursor: pointer; height: 100%; width: 100%; position: relative; color: rgba(255, 255, 255, 0.85); font-size: 13px; font-weight: 400; font-family: ""helvetica neue"", arial; line-height: normal; transform: translateZ(0px);'><div role=""button"" style=""position: absolute; height: 100%; width: 100%;"" tabindex=""0""><div style=""height: 100%; position: relative; transform: translateZ(0px); width: 100%;""><div style=""height: 100%; position: absolute; width: 100%;""></div></div></div>/&gt;<div><div data-testid=""poster"" role=""button"" style=""position: absolute; top: 0px; bottom: 0px; left: 0px; right: 0px; display: flex; justify-content: center; align-items: center; background-size: cover; background-position: center center; cursor: pointer;"" tabindex=""0""><div data-testid=""posterPlayBtn""><div aria-haspopup=""false"" aria-label=""Play"" class=""rn-1oszu61 rn-urgr8i rn-1f0fu4f rn-1iih0mj rn-3pxcvb rn-1eqmklk rn-1bxrh7q rn-waaub4 rn-sqtsar rn-qb5c1y rn-1efd50x rn-14skgim rn-rull8r rn-mm0ijv rn-eujbse rn-gg9v3n rn-r7j6xl rn-119zq30 rn-deolkf rn-1loqt21 rn-6koalj rn-1qe8dj5 rn-1mlwlqe rn-eqz5dr rn-e6wyp1 rn-1mnahxq rn-61z16t rn-p1pxzi rn-11wrixw rn-ifefl9 rn-bcqeeo rn-wk8lta rn-9aemit rn-1mdbw0j rn-gy4na3 rn-bnwqim rn-o7ynqc rn-6416eg rn-1p15a4t rn-1lgpqti"" data-focusable=""true"" role=""button"" tabindex=""0""><div class=""rn-1awozwy rn-1efd50x rn-14skgim rn-rull8r rn-mm0ijv rn-13yce4e rn-fnigne rn-ndvcnb rn-gxnn5r rn-deolkf rn-6koalj rn-1qe8dj5 rn-1mlwlqe rn-eqz5dr rn-1pi2tsx rn-1777fci rn-1mnahxq rn-61z16t rn-p1pxzi rn-11wrixw rn-ifefl9 rn-bcqeeo rn-wk8lta rn-9aemit rn-1mdbw0j rn-gy4na3 rn-u8s1d rn-13qz1uu rn-1lgpqti""><svg class=""rn-jwli3a rn-4qtqp9 rn-yyyyoo rn-1sa8knb rn-dnmrzs rn-1dsia8u rn-bnwqim rn-m6rgpd rn-lrvibr rn-gcko2u"" viewBox=""0 0 24 24""><g><path d=""M20.436 11.37L5.904 2.116c-.23-.147-.523-.158-.762-.024-.24.132-.39.384-.39.657v18.5c0 .273.15.525.39.657.112.063.236.093.36.093.14 0 .28-.04.402-.117l14.53-9.248c.218-.138.35-.376.35-.633 0-.256-.132-.495-.348-.633z""></path></g></svg></div></div></div></div><div class=""rn-1oszu61 rn-1efd50x rn-14skgim rn-rull8r rn-mm0ijv rn-13yce4e rn-fnigne rn-ndvcnb rn-gxnn5r rn-1nlw0im rn-deolkf rn-6koalj rn-1qe8dj5 rn-1mlwlqe rn-eqz5dr rn-1r74h94 rn-1mnahxq rn-61z16t rn-p1pxzi rn-11wrixw rn-ifefl9 rn-bcqeeo rn-wk8lta rn-9aemit rn-1mdbw0j rn-gy4na3 rn-u8s1d rn-1lgpqti""><span style=""opacity: 1; transition: opacity 0.15s ease-in-out 0s;""><div class=""rn-1oszu61 rn-1efd50x rn-14skgim rn-rull8r rn-mm0ijv rn-13yce4e rn-fnigne rn-ndvcnb rn-gxnn5r rn-deolkf rn-6koalj rn-1qe8dj5 rn-1mlwlqe rn-18u37iz rn-1mnahxq rn-61z16t rn-p1pxzi rn-11wrixw rn-ifefl9 rn-bcqeeo rn-wk8lta rn-9aemit rn-1mdbw0j rn-gy4na3 rn-bnwqim rn-1lgpqti""></div></span></div><div class=""rn-1oszu61 rn-1efd50x rn-14skgim rn-rull8r rn-mm0ijv rn-13yce4e rn-fnigne rn-ndvcnb rn-gxnn5r rn-1nlw0im rn-deolkf rn-6koalj rn-1qe8dj5 rn-1mlwlqe rn-eqz5dr rn-1mnahxq rn-61z16t rn-p1pxzi rn-11wrixw rn-ifefl9 rn-bcqeeo rn-wk8lta rn-9aemit rn-1mdbw0j rn-gy4na3 rn-u8s1d rn-3mc0re rn-1lgpqti""><span style=""opacity: 1; transition: opacity 0.15s ease-in-out 0s;""></span></div></div></div></div></div>",3159,19212,126174
1:57 AM - 10 Jan 2020, Toss a coin to ur Witcher ,,1069,5388,37046
11:19 PM - 9 Jan 2020,Phonypic.twitter.com/w9nyOAxQus,,855,10854,78547
10:53 PM - 9 Jan 2020,Bitcoin is *not* my safe word,,2088,4769,55592
2:04 AM - 9 Jan 2020,I put the art in fart,,7645,58029,390348
9:05 AM - 8 Jan 2020," Tesla China Team 
     Such amazing progress!!",,1691,3044,91335
