Address,Url,Price
"['','MAROLNAKA,ANDHERI(EAST),MUMBAI,JBNagar,','','','Mumbai','-400059,','Maharashtra','','']","['/ratingsAndReview?photographer_id=2c9f8d694eb21cdd014fcb7ab82d00d9','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']","['','15,000','','8,000','','15,000','','10,000','','6,000','','10,000','','10,000','','10,000','','20,000','','10,000','','10,000','','10,000']"
"['','BuildingNo.8,Room390khernagar,,BandraEast,','','','Mumbai','-400055,','Maharashtra','','']","['http://www.pradakshinaa.com','http://www.facebook.com/Pradakshinaa','http://www.flickr.com/photos/62355167@N04/','https://www.instagram.com/knotsbypradakshinaa/','/ratingsAndReview?photographer_id=2f712b1d3b2911e3b6330e2f866a9102','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']",[]
"['','707/A,PrathameshComplex,VeeraDesaiRoadExtn.,AndheriWest,AndheriWest,','','','Mumbai','-400053,','Maharashtra','','']","['http://www.theweddingpictures.co.in','https://www.facebook.com/pages/Himanshu-jaura-photography/293983117296639','https://www.instagram.com/theweddingpictures_/','/ratingsAndReview?photographer_id=2c9f81524be644f9014bf41cd0d5000d','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']","['','15,000']"
"['','SamratAshokNagar,OTSection,NearShardaPrintingpress,\xa0','BhargaowClinic,','','','Mumbai','-421003,','Maharashtra','','']","['https://www.facebook.com/nikki.kiran/photos_albums','/ratingsAndReview?photographer_id=2c9f848755a444200155b4bf7a180089','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']","['','20,000','','15,000','','20,000','','15,000','','15,000','','15,000','','10,000','','15,000','','15,000','','25,000']"
"['','Chembur,04,','','','Mumbai','-400071,','Maharashtra','','']","['https://twitter.com/NDPhotography02','https://www.facebook.com/ndphotography02','https://plus.google.com/u/0/101856910647773070506/posts','/ratingsAndReview?photographer_id=11a3a058812011e4ae4c0e2f866a9102','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']",[]
"['','NearMiraRoadRailwayStation,MIRAROAD,','','','Mumbai','-401107,','Maharashtra','','']","['https://www.facebook.com/memorybasketbyvigneshmadhu/','https://www.instagram.com/chiggy27/?hl=en','/ratingsAndReview?photographer_id=2c9f848756a55ba40156ab70eb450037','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']","['','20,000','','6,000','','5,000','','10,000']"
"['','Mumbai,.Shutterspeed,','','','Mumbai','-400007,','Maharashtra','','']","['https://www.facebook.com/Studioshutterspeed-164640823597930/','https://www.instagram.com/studioshutterspeed/','/ratingsAndReview?photographer_id=2c9f8d694ff635ca01500499dfd9000f','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']","['','25,000','','25,000']"
"['','703/CWing,OdysseyBuilding,NearImaxBigCinemaTheaterWadala(E),BhaktiPark,BhaktiPark,','','','Mumbai','-400037,','Maharashtra','','']","['https://www.facebook.com/AK-Photography-Events-Wedding-Planners-1465522696872889/','https://www.youtube.com/channel/UCH_tYGc9-VnhWAeW9gSSqPw/featured?view_as=subscriber','https://www.instagram.com/official_akphotography94/','/ratingsAndReview?photographer_id=2c9f84875aa29f83015aad46a1360088','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']","['','80,000','','15,000','','30,000','','20,000','','15,000','','25,000','','80,000','','10,000','','10,000','','12,000','','10,000','','12,000']"
"['','401DNILGIRITOWER,MANVELPADAROAD,NEARVIRAREAST,','','','Mumbai','-401305,','Maharashtra','','']","['https://www.facebook.com/rohan2310?__nodl','https://www.instagram.com/rohan_tandel_photography/?hl=en','/ratingsAndReview?photographer_id=2c9f8d694ff635ca0150b85c42960078','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']","['','15,000','','10,000','','20,000','','20,000','','10,000','','12,000','','10,000','','10,000','','20,000','','10,000']"
"['','Lab90,JayantiNiwasCompound,OppositetoIskconTemple,Juhu,','','','Mumbai','-400049,','Maharashtra','','']","['/ratingsAndReview?photographer_id=2f221c753b2411e3b6330e2f866a9102','https://www.canvera.com/web/99600846/staticContentAction.do?contentPage=termsOfServices','https://www.facebook.com/Canvera','http://twitter.com/canvera','https://www.instagram.com/canveradotcom/','https://plus.google.com/+canvera','http://www.linkedin.com/company/canvera-com','http://www.youtube.com/user/CanveraInc']",[]
