Time,Tweet,Comment,Retweet,Like,ImageLink
8:12 AM - 18 Aug 2019,b'Finally starting the most requested and awaited series on my channel - BUILD YOUR OWN FPV RACING DRONE \n\nPart 1 is out - https://youtu.be/qRE1L7YsSJQ\xc2\xa0\n\nWatch and share  #FPV #FPVDrone #FPVDroneRacing #Drones  || @IDRLdroneracing',0,5,11,
11:22 PM - 2 Aug 2019,"b""Our CEO, Karan Kamdar talks to @karnanupam of @Inc42 Media about India's Digital Sky Platform.https://inc42.com/features/how-the-governments-half-baked-drone-policy-has-grounded-startups-in-india/\xc2\xa0\xe2\x80\xa6""",0,3,6,
11:06 AM - 12 Mar 2019,"b'Pilot Ouroboros chasing Devnath at IDRL 19, IIT Delhi - HD footage. Must watch. Like, share and subscribe!\nhttps://youtu.be/Ah48pV3EuHY\xc2\xa0 #idrl #drones #racing #uav #fpv #fpvracing #hd #footage #education #competition #fpvlife #dronestagram  #drone #race #chase #indiandroneracingleague'",0,5,7,
7:06 AM - 9 Mar 2019,b'Well that\xe2\x80\x99s how a pro night drone race looks like.. Full Video on my YT channel - https://youtu.be/682AL0d9sN0\xc2\xa0 @IDRLdroneracing #FPV #DroneRacingpic.twitter.com/zfVsOSHroV',1,4,9,('https://pbs.twimg.com/ext_tw_video_thumb/1104397869308555265/pu/img/AStbab7SdMWHO1ws.jpg')
10:40 AM - 5 Mar 2019,b'The gorgeous Night Drone Racing Track at @trystiitd PC - @iAyanPahwa #droneracing #drones #competition #race #education #fpv #fpvlife #uav #speed #trackpic.twitter.com/Zu5UEFNHM2',0,5,16,
8:36 PM - 19 Feb 2019,"b'IDRL 18 Drone Race at @AeroIndiashow scheduled from 9:30 - 10 am on 21st Feb. Catch top drone racing pilots showcase their skills in this race of the champions in association with Government of India, Ministry of Defence and Civil Aviation #droneracing #idrl #race #show #drones'",0,0,6,
4:23 AM - 8 Feb 2019,"b""Watch pilot Ouroboros' 1st place Finals run at IDRL 17 BITS Goa\nhttps://youtu.be/B05eGxLaWHM\xc2\xa0 #idrl #drones #droneracing #fpv #racing #speed #thriller #finals""",0,2,1,
11:24 AM - 8 Dec 2018,b'I added a video to a @YouTube playlist http://youtu.be/91ygkNsUvdk?a\xc2\xa0 #DroneRacing #IDRL #Bengaluru Tech Summit 2018 at Banglore',0,0,1,
7:58 PM - 3 Dec 2018,b'I added a video to a @YouTube playlist http://youtu.be/Rb9cH8rDUCY?a\xc2\xa0 Watch how Indian pilots compete in an exciting drone race in Bangalore',0,0,0,
11:30 AM - 3 Dec 2018,b'I added a video to a @YouTube playlist http://youtu.be/-dcNj9wAQ7Y?a\xc2\xa0 BTS Night Track',0,0,0,
